crater_id;latitude;longitude;diam_circle_image;depth_rimfloor_topog
23-015399;-14.613;139.531;1.08;0.0
23-015412;-14.873;137.539;1.08;0.0
23-015467;-14.36;135.905;1.07;0.0
23-015551;-15.271;136.029;1.07;0.0
23-015563;-15.295;137.663;1.07;0.0
23-015604;-15.594;138.021;1.07;0.0
23-015618;-14.338;136.619;1.07;0.0
23-015679;-16.387;138.643;1.07;0.0
23-015826;-14.445;135.755;1.06;0.0
23-015875;-16.694;136.895;1.06;0.0
23-015877;-14.099;139.91;1.06;0.0
23-015940;-14.551;139.503;1.06;0.0
23-015986;-15.53;139.816;1.06;0.0
23-016007;-14.376;139.399;1.05;0.0
23-016008;-16.26;137.576;1.05;0.0
23-016119;-14.859;135.449;1.05;0.0
23-016144;-16.346;139.471;1.05;0.0
23-016204;-16.441;137.001;1.05;0.0
23-016326;-14.928;137.395;1.04;0.0
23-016416;-16.471;135.158;1.04;0.0
23-016474;-14.794;139.131;1.04;0.0
23-016535;-14.9;139.167;1.04;0.0
23-016613;-16.4;139.465;1.03;0.0
23-016719;-16.36;139.567;1.03;0.0
23-016752;-15.72;139.273;1.03;0.0
23-016862;-13.851;135.706;1.03;0.0
23-016865;-14.402;139.606;1.03;0.0
23-016904;-16.212;137.381;1.02;0.0
23-016936;-15.065;138.861;1.02;0.0
23-017043;-16.633;137.106;1.02;0.0
23-017150;-16.175;138.378;1.02;0.0
23-017189;-14.236;137.222;1.01;0.0
23-017217;-16.412;136.743;1.01;0.0
23-017224;-14.532;138.27;1.01;0.0
23-017265;-14.656;135.769;1.01;0.0
23-017271;-15.801;135.684;1.01;0.0
23-017291;-16.292;137.425;1.01;0.0
23-017296;-14.336;138.1;1.01;0.0
23-017389;-15.113;136.426;1.01;0.0
23-017414;-15.266;138.469;1.01;0.0
23-017426;-16.346;138.935;1.01;0.0
23-017478;-14.401;136.134;1.01;0.0
23-017610;-14.343;135.748;1.0;0.0
